"rules","support","confidence","coverage","lift","count"
"{POPPY'S PLAYHOUSE LIVINGROOM} => {POPPY'S PLAYHOUSE BATHROOM}",0.0112866817155756,0.833333333333333,0.0135440180586907,73.8333333333333,5
"{POPPY'S PLAYHOUSE BEDROOM,POPPY'S PLAYHOUSE LIVINGROOM} => {POPPY'S PLAYHOUSE BATHROOM}",0.0112866817155756,0.833333333333333,0.0135440180586907,73.8333333333333,5
"{POPPY'S PLAYHOUSE KITCHEN,POPPY'S PLAYHOUSE LIVINGROOM} => {POPPY'S PLAYHOUSE BATHROOM}",0.0112866817155756,0.833333333333333,0.0135440180586907,73.8333333333333,5
"{POPPY'S PLAYHOUSE BEDROOM,POPPY'S PLAYHOUSE KITCHEN,POPPY'S PLAYHOUSE LIVINGROOM} => {POPPY'S PLAYHOUSE BATHROOM}",0.0112866817155756,0.833333333333333,0.0135440180586907,73.8333333333333,5
"{POPPY'S PLAYHOUSE BATHROOM} => {POPPY'S PLAYHOUSE LIVINGROOM}",0.0112866817155756,1,0.0112866817155756,73.8333333333333,5
"{POPPY'S PLAYHOUSE BATHROOM,POPPY'S PLAYHOUSE BEDROOM} => {POPPY'S PLAYHOUSE LIVINGROOM}",0.0112866817155756,1,0.0112866817155756,73.8333333333333,5
"{POPPY'S PLAYHOUSE BATHROOM,POPPY'S PLAYHOUSE KITCHEN} => {POPPY'S PLAYHOUSE LIVINGROOM}",0.0112866817155756,1,0.0112866817155756,73.8333333333333,5
"{POPPY'S PLAYHOUSE BATHROOM,POPPY'S PLAYHOUSE BEDROOM,POPPY'S PLAYHOUSE KITCHEN} => {POPPY'S PLAYHOUSE LIVINGROOM}",0.0112866817155756,1,0.0112866817155756,73.8333333333333,5
"{STAR WREATH DECORATION WITH BELL} => {WHITE ROCKING HORSE HAND PAINTED}",0.0112866817155756,0.714285714285714,0.0158013544018059,63.2857142857143,5
"{RIBBON REEL CHRISTMAS SOCK BAUBLE} => {RIBBON REEL CHRISTMAS PRESENT}",0.0112866817155756,0.714285714285714,0.0158013544018059,63.2857142857143,5
"{HEART WREATH DECORATION WITH BELL,STAR WREATH DECORATION WITH BELL} => {WHITE ROCKING HORSE HAND PAINTED}",0.0112866817155756,0.714285714285714,0.0158013544018059,63.2857142857143,5
"{POPPY'S PLAYHOUSE BEDROOM,POPPY'S PLAYHOUSE KITCHEN} => {POPPY'S PLAYHOUSE BATHROOM}",0.0112866817155756,0.714285714285714,0.0158013544018059,63.2857142857143,5
"{WHITE ROCKING HORSE HAND PAINTED} => {STAR WREATH DECORATION WITH BELL}",0.0112866817155756,1,0.0112866817155756,63.2857142857143,5
"{RIBBON REEL CHRISTMAS PRESENT} => {RIBBON REEL CHRISTMAS SOCK BAUBLE}",0.0112866817155756,1,0.0112866817155756,63.2857142857143,5
"{HEART WREATH DECORATION WITH BELL,WHITE ROCKING HORSE HAND PAINTED} => {STAR WREATH DECORATION WITH BELL}",0.0112866817155756,1,0.0112866817155756,63.2857142857143,5
"{PACK OF 6 SKULL PAPER CUPS,PACK OF 6 SKULL PAPER PLATES} => {PACK OF 20 SKULL PAPER NAPKINS}",0.0112866817155756,1,0.0112866817155756,63.2857142857143,5
"{PACK OF 20 SKULL PAPER NAPKINS,SET/6 RED SPOTTY PAPER CUPS} => {PACK OF 6 SKULL PAPER CUPS}",0.0112866817155756,1,0.0112866817155756,63.2857142857143,5
"{PACK OF 6 SKULL PAPER PLATES,SET/6 RED SPOTTY PAPER CUPS} => {PACK OF 6 SKULL PAPER CUPS}",0.0112866817155756,1,0.0112866817155756,63.2857142857143,5
"{PACK OF 6 SKULL PAPER PLATES,SET/6 RED SPOTTY PAPER CUPS} => {PACK OF 20 SKULL PAPER NAPKINS}",0.0112866817155756,1,0.0112866817155756,63.2857142857143,5
"{PINK POLKADOT WRAP,RED RETROSPOT WRAP} => {BLUE POLKADOT WRAP}",0.0112866817155756,1,0.0112866817155756,63.2857142857143,5
"{ROUND STORAGE TIN VINTAGE LEAF,SET OF TEA COFFEE SUGAR TINS PANTRY} => {STORAGE TIN VINTAGE LEAF}",0.0112866817155756,1,0.0112866817155756,63.2857142857143,5
"{ROUND STORAGE TIN VINTAGE LEAF,SET OF 4 KNICK KNACK TINS DOILY} => {STORAGE TIN VINTAGE LEAF}",0.0112866817155756,1,0.0112866817155756,63.2857142857143,5
"{PACK OF 6 SKULL PAPER CUPS,PACK OF 6 SKULL PAPER PLATES,SET/6 RED SPOTTY PAPER CUPS} => {PACK OF 20 SKULL PAPER NAPKINS}",0.0112866817155756,1,0.0112866817155756,63.2857142857143,5
"{PACK OF 20 SKULL PAPER NAPKINS,PACK OF 6 SKULL PAPER PLATES,SET/6 RED SPOTTY PAPER CUPS} => {PACK OF 6 SKULL PAPER CUPS}",0.0112866817155756,1,0.0112866817155756,63.2857142857143,5
"{PACK OF 6 SKULL PAPER CUPS,PACK OF 6 SKULL PAPER PLATES,SET/6 RED SPOTTY PAPER PLATES} => {PACK OF 20 SKULL PAPER NAPKINS}",0.0112866817155756,1,0.0112866817155756,63.2857142857143,5
"{PACK OF 20 SKULL PAPER NAPKINS,SET/6 RED SPOTTY PAPER CUPS,SET/6 RED SPOTTY PAPER PLATES} => {PACK OF 6 SKULL PAPER CUPS}",0.0112866817155756,1,0.0112866817155756,63.2857142857143,5
"{PACK OF 6 SKULL PAPER PLATES,SET/6 RED SPOTTY PAPER CUPS,SET/6 RED SPOTTY PAPER PLATES} => {PACK OF 6 SKULL PAPER CUPS}",0.0112866817155756,1,0.0112866817155756,63.2857142857143,5
"{PACK OF 6 SKULL PAPER PLATES,SET/6 RED SPOTTY PAPER CUPS,SET/6 RED SPOTTY PAPER PLATES} => {PACK OF 20 SKULL PAPER NAPKINS}",0.0112866817155756,1,0.0112866817155756,63.2857142857143,5
"{ROUND STORAGE TIN VINTAGE LEAF,SET OF 4 KNICK KNACK TINS DOILY,STORAGE TIN VINTAGE DOILY} => {STORAGE TIN VINTAGE LEAF}",0.0112866817155756,1,0.0112866817155756,63.2857142857143,5
